[2026-09-12 14:03:03 UTC] xrun -Q -unbuffered '-timescale' '1ns/1ns' '-sysv' '-access' '+rw' design.sv testbench.sv  
TOOL:	xrun	25.03-s001: Started on Sep 12, 2026 at 10:03:03 EDT
xrun: 25.03-s001: (c) Copyright 1995-2025 Cadence Design Systems, Inc.
	Top level design units:
		comparator_4bit_tb
Loading snapshot worklib.comparator_4bit_tb:sv .................... Done
xcelium> source /xcelium25.03/tools/xcelium/files/xmsimrc
xcelium> run
Y1 => A greater than B
Y2 => B greater than A
Y3 => A equals B
A=0101 | B=1011 | Y1=0 | Y2=1 | Y3=0
A=0101 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=0101 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=0101 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=0101 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=0110 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=0110 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=0110 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=0110 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=0110 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=0110 | B=0110 | Y1=0 | Y2=0 | Y3=1
A=0110 | B=0111 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1000 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1001 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1010 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1011 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=0110 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=0111 | B=0111 | Y1=0 | Y2=0 | Y3=1
A=0111 | B=1000 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1001 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1010 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1011 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=0111 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1000 | B=1000 | Y1=0 | Y2=0 | Y3=1
A=1000 | B=1001 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=1010 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=1011 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=1000 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1001 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1001 | B=1001 | Y1=0 | Y2=0 | Y3=1
A=1001 | B=1010 | Y1=0 | Y2=1 | Y3=0
A=1001 | B=1011 | Y1=0 | Y2=1 | Y3=0
A=1001 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=1001 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=1001 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=1001 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1010 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=1001 | Y1=1 | Y2=0 | Y3=0
A=1010 | B=1010 | Y1=0 | Y2=0 | Y3=1
A=1010 | B=1011 | Y1=0 | Y2=1 | Y3=0
A=1010 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=1010 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=1010 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=1010 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1011 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=1001 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=1010 | Y1=1 | Y2=0 | Y3=0
A=1011 | B=1011 | Y1=0 | Y2=0 | Y3=1
A=1011 | B=1100 | Y1=0 | Y2=1 | Y3=0
A=1011 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=1011 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=1011 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1100 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=1001 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=1010 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=1011 | Y1=1 | Y2=0 | Y3=0
A=1100 | B=1100 | Y1=0 | Y2=0 | Y3=1
A=1100 | B=1101 | Y1=0 | Y2=1 | Y3=0
A=1100 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=1100 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1101 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=1001 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=1010 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=1011 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=1100 | Y1=1 | Y2=0 | Y3=0
A=1101 | B=1101 | Y1=0 | Y2=0 | Y3=1
A=1101 | B=1110 | Y1=0 | Y2=1 | Y3=0
A=1101 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1110 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1001 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1010 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1011 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1100 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1101 | Y1=1 | Y2=0 | Y3=0
A=1110 | B=1110 | Y1=0 | Y2=0 | Y3=1
A=1110 | B=1111 | Y1=0 | Y2=1 | Y3=0
A=1111 | B=0000 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0001 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0010 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0011 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0100 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0101 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0110 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=0111 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1000 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1001 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1010 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1011 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1100 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1101 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1110 | Y1=1 | Y2=0 | Y3=0
A=1111 | B=1111 | Y1=0 | Y2=0 | Y3=1
Simulation complete via $finish(1) at time 2560 NS + 0
./testbench.sv:29     $finish;
xcelium> exit
TOOL:	xrun	25.03-s001: Exiting on Sep 12, 2026 at 10:03:05 EDT  (total: 00:00:02)
Finding VCD file...
./dump.vcd
[2026-09-12 14:03:05 UTC] Opening EPWave...
Done
